# DraftSheets re-scored for San Diego City Slackers (12 tm, QB1/RB2/WR3/TE1/FLEX1 RB/WR, 0 PPR). Pts = ECR-blended 16-game projection; VBD vs baselines QB14, RB44, WR47, TE12.
Player,Position,Team,Bye,ECRRank,ECRTier,PosRank,Upside,Bust,MissedGames,Low,Avg,High,Pts,VBD,Tier,ECRvsADP
Matthew Stafford,QB,LAR,11,109,6,16,4 out of 5,2 out of 5,2.316,224.98,236.6,247.37,235.54,-8.47,6,-8
Dalton Kincaid,TE,BUF,7,110,6,11,3 out of 5,4 out of 5,1.934,74.38,85.41,98.96,86.8,-0.61,4,-11
Kyle Monangai,RB,CHI,10,111,6,39,4 out of 5,3 out of 5,3.342,86.15,98.7,113.53,97.55,20.94,6,-14
Makai Lemon,WR,PHI,10,112,6,46,4 out of 5,2 out of 5,3.848,88.18,91.03,94.44,88.18,8.57,6,-2
Rachaad White,RB,WAS,7,113,6,40,4 out of 5,2 out of 5,3.386,77.61,93.26,110.41,93.07,16.46,7,6
Isaiah Likely,TE,NYG,8,114,6,12,4 out of 5,3 out of 5,1.976,70.62,84.01,107.66,87.41,0.0,4,-14
Jakobi Meyers,WR,JAX,7,115,6,47,2 out of 5,3 out of 5,3.848,73.55,77.87,83.2,78.31,-1.31,6,19
KC Concepcion,WR,CLE,11,116,6,48,4 out of 5,3 out of 5,3.848,84.51,92.86,100.65,88.97,9.36,6,5
Dallas Goedert,TE,PHI,10,117,6,13,4 out of 5,3 out of 5,2.029,78.81,93.86,113.85,92.98,5.57,3,3
De'Zhaun Stribling,WR,SF,8,118,6,49,4 out of 5,4 out of 5,3.848,93.55,97.63,101.87,92.7,13.09,6,-12
Kyler Murray,QB,MIN,6,119,6,17,4 out of 5,3 out of 5,2.412,213.82,233.2,254.19,233.59,-10.42,6,10
Aaron Jones Sr.,RB,MIN,6,120,6,41,1 out of 5,4 out of 5,3.431,80.59,89.49,97.21,89.19,12.59,7,5
Jordan Love,QB,GB,11,121,6,18,4 out of 5,3 out of 5,2.519,204.54,218.47,231.19,219.09,-24.92,7,16
Baker Mayfield,QB,TB,10,122,6,19,3 out of 5,4 out of 5,2.636,204.79,221.8,242.12,222.63,-21.38,7,16
