# Yahoo data for league 59154 (San Diego City Slackers), scraped 2026-09-04: season projections in league scoring (league players page) + ADP (draft analysis, standard-scoring ADP). Kickers omitted: no K slot.
Player,Position,Team,ProjectedPoints,YahooADP,YahooPlayerID,Bye,YahooPreseasonADP,YahooPctDrafted,YahooORank
Isaac TeSlaa,WR,DET,51.91,124.2,41865,6,124.0,0.02,254
Malik Willis,QB,MIA,264.72,125.1,34042,6,125.0,0.35,133
AJ Barner,TE,SEA,74.50,125.3,41001,11,124.6,0.06,183
Travis Hunter,WR,JAX,48.51,125.4,99001,7,125.1,0.06,187
Isiah Pacheco,RB,DET,39.48,125.5,34207,6,124.9,0.08,197
C.J. Stroud,QB,HOU,266.32,125.6,40030,8,125.4,0.09,175
James Conner,RB,ARI,28.79,125.6,30218,14,124.7,0.02,271
Matthew Golden,WR,GB,101.93,125.8,41808,11,125.5,0.70,99
Baker Mayfield,QB,TB,255.41,125.8,30971,10,125.3,0.41,137
Keenan Allen,WR,IND,70.11,125.8,26699,13,125.7,0.05,147
Alvin Kamara,RB,NO,62.25,125.8,30180,8,125.8,0.14,191
Jauan Jennings,WR,MIN,74.13,126.1,32887,6,125.7,0.02,207
Dalton Schultz,TE,HOU,82.49,126.3,31107,8,126.4,0.26,149
Chig Okonkwo,TE,WAS,70.50,126.5,34099,7,126.5,0.43,158
Oronde Gadsden,TE,LAC,42.04,126.5,41951,7,126.6,0.19,217
49ers,DEF,SF,122.72,126.5,100025,8,125.9,0.08,260
Bears,DEF,CHI,129.96,126.5,100003,10,126.3,0.05,290
Emmett Johnson,RB,KC,62.49,126.7,42796,5,126.0,0.02,157
Ja'Kobi Lane,WR,BAL,54.21,126.8,42702,13,126.5,0.03,161
Terrance Ferguson,TE,LAR,63.06,127.2,41831,11,127.3,0.07,151
Daniel Jones,QB,IND,256.00,127.2,31838,13,126.9,0.06,167
Deebo Samuel Sr.,WR,SF,77.21,127.3,31868,8,126.9,0.22,154
Braelon Allen,RB,NYJ,65.72,127.6,40981,13,127.4,0.02,164
Hunter Henry,TE,NE,94.60,127.6,29269,11,127.2,0.52,166
Tre Tucker,WR,LV,77.12,128.3,40114,13,128.0,0.02,142
Giants,DEF,NYG,122.72,128.3,100019,8,128.2,0.03,267
Rashid Shaheed,WR,SEA,89.62,128.4,34659,11,128.2,0.15,132
T.J. Hockenson,TE,MIN,70.10,128.4,31840,6,128.0,0.09,215
Tyreek Hill,WR,MIA,54.20,128.9,29399,6,128.2,0.02,353
Xavier Worthy,WR,KC,97.37,129.1,40877,5,129.0,0.38,131
Jalen Nailor,WR,LV,75.64,129.2,34147,13,128.9,0.02,186
Jonah Coleman,RB,DEN,71.10,129.3,42730,10,128.6,0.07,141
